Restaurant address,Challenge name,Location name,Latitude,Longitude
"Address: 108 4th St SW, Cullman, AL 35055",Downtown Grill’s Traditional Fire Wings Challenge,Where: The Downtown Grill,,
"Address: 918 1st St SW, Childersburg, AL 35044",The Italian Cafe’s 2ft-Long Stromboli Challenge,Where: The Italian Cafe,,
"Address: 215 E Laurel Ave, Foley, AL 36535",Wacked Out Weiner’s Wackinator Hot Dog Challenge (Foley),Where: Wacked Out Weiner (Foley),,
"Address: 3800 Gulf Shores Pkwy, Ste #340, Gulf Shores, AL 36542",Wacked Out Weiner’s Wackinator Hot Dog Challenge (Gulf Shores),Where: Wacked Out Weiner (Gulf Shores),,
"Address: 1111 Government St, Mobile, AL 36604",Saucy Q Bar B Que’s “Big Pig” Pulled Pork Sandwich Challenge,Where: Saucy Q Bar B Que,,
"Address: 1820 6th Ave SE, Ste C, Decatur, AL 35601",Downtown Dawgs’ “Dawg of War” Hot Dog Challenge,Where: Downtown Dawgs,,
"Address: 13813 US-411, Odenville, AL 35120",R&R BBQ`s Burger Challenge,Where: R&R BBQ,,
"Address: 616 Banks St, Glencoe, AL 35905",Tre Ragazzi’s Colossal Calzone Challenge (Glencoe),Where: Tre Ragizzi's Italian Cafe (Glencoe),,
"Address: 519 Broad St, Gadsden, AL 35901",Tre Ragazzi’s Colossal Calzone Challenge (Gadsden),Where: Tre Ragazzi's Italian Cafe (Gadsden),,
"Address: 7044 University Dr NW, Ste B, Huntsville, AL 35806",El Olmeca Mexican Cantina’s “Burrito Macho XXL”,Where: El Olmeca Mexican Cantina,,
"Address: 1678 Montgomery Hwy S, Hoover, AL 35216",The Pazzo Big Slice 24″ Solo Pizza Challenge,Where: Pazzo! Big Slice Pizza & Calzone Bakery,,
"Address: 83 Vaughn Lane, Pell City, AL 35125",The Hwy 55 Burger Challenge (Pell City),Where: Hwy 55 Restaurant (Pell City),,
"Address: 216 E 24th St, Gulf Shores, AL 36542",Acme Oyster House’s 15 Dozen Oyster Club Challenge (Gulf Shores),Where: Acme Oyster House (Gulf Shores),,
"Address: 6255 Airport Blvd, Mobile, AL 36608",The Mugshots Burger Challenge (Mobile),Where: Mugshots Grill & Bar (Mobile),,
"Address: 7971 Vaughn Rd, Montgomery, AL 36116",The Mugshots Burger Challenge (Montgomery),Where: Mugshots Grill & Bar (Montgomery),,
"Address: 1919 Kentucky Ave, Vestavia Hills, AL 35216",The Mugshots Burger Challenge (Vestavia Hills),Where: Mugshots Grill & Bar (Vestavia Hills),,
"Address: 511 Greensboro Ave, Tuscaloosa, AL 35401",The Mugshots Burger Challenge (Tuscaloosa),Where: Mugshots Grill & Bar (Tuscaloosa),,
"Address: 1292 Mt Mills Rd, Tuscumbia, AL 35674",Rattlesnake Saloon’s “Gigantor” Burger Challenge,Where: Rattlesnake Saloon,,
"Address: 917 S Railroad Ave, Opelika, AL 36801",The Niffasaurus Burger Challenge (Opelika),Where: Niffer's Place (Opelika),,
"Address: 1151 Opelika Rd, Auburn, AL 36830",The Niffasaurus Burger Challenge (Auburn),Where: Niffer's Place (Auburn),,
"Address: 7500 Hwy 49 South, Dadeville, AL 36853
",The Niffasaurus Burger Challenge (Dadeville),Where: Niffer's Place (Dadeville),,
"Address: 817 North A St, Nenana, AK 99760",Riverside Pizza’s 40″x26″ Garbage Can Team Pizza Challenge,Where: Riverside Pizza,,
