Unnamed: 0,Restaurant address,Challenge name,Location name,latitude,longitude
0,"Address: 108 4th St SW, Cullman, AL 35055",Downtown Grill’s Traditional Fire Wings Challenge,Where: The Downtown Grill,34.1739,-86.84227
1,"Address: 918 1st St SW, Childersburg, AL 35044",The Italian Cafe’s 2ft-Long Stromboli Challenge,Where: The Italian Cafe,33.27809,-86.35592
2,"Address: 215 E Laurel Ave, Foley, AL 36535",Wacked Out Weiner’s Wackinator Hot Dog Challenge (Foley),Where: Wacked Out Weiner (Foley),30.389725,-87.708812
3,"Address: 3800 Gulf Shores Pkwy, Ste #340, Gulf Shores, AL 36542",Wacked Out Weiner’s Wackinator Hot Dog Challenge (Gulf Shores),Where: Wacked Out Weiner (Gulf Shores),30.301170000000003,-87.68091
4,"Address: 1111 Government St, Mobile, AL 36604",Saucy Q Bar B Que’s “Big Pig” Pulled Pork Sandwich Challenge,Where: Saucy Q Bar B Que,30.683759999999996,-88.06057
5,"Address: 1820 6th Ave SE, Ste C, Decatur, AL 35601",Downtown Dawgs’ “Dawg of War” Hot Dog Challenge,Where: Downtown Dawgs,34.57549,-86.97400999999999
6,"Address: 13813 US-411, Odenville, AL 35120",R&R BBQ`s Burger Challenge,Where: R&R BBQ,33.67853,-86.40666
7,"Address: 616 Banks St, Glencoe, AL 35905",Tre Ragazzi’s Colossal Calzone Challenge (Glencoe),Where: Tre Ragizzi's Italian Cafe (Glencoe),33.96692,-85.94171
8,"Address: 519 Broad St, Gadsden, AL 35901",Tre Ragazzi’s Colossal Calzone Challenge (Gadsden),Where: Tre Ragazzi's Italian Cafe (Gadsden),34.01422,-86.00532
9,"Address: 7044 University Dr NW, Ste B, Huntsville, AL 35806",El Olmeca Mexican Cantina’s “Burrito Macho XXL”,Where: El Olmeca Mexican Cantina,34.75627,-86.7106
10,"Address: 1678 Montgomery Hwy S, Hoover, AL 35216",The Pazzo Big Slice 24″ Solo Pizza Challenge,Where: Pazzo! Big Slice Pizza & Calzone Bakery,33.391490000000005,-86.80714
11,"Address: 83 Vaughn Lane, Pell City, AL 35125",The Hwy 55 Burger Challenge (Pell City),Where: Hwy 55 Restaurant (Pell City),33.64332,-86.35608
12,"Address: 216 E 24th St, Gulf Shores, AL 36542",Acme Oyster House’s 15 Dozen Oyster Club Challenge (Gulf Shores),Where: Acme Oyster House (Gulf Shores),30.27164,-87.742615
13,"Address: 6255 Airport Blvd, Mobile, AL 36608",The Mugshots Burger Challenge (Mobile),Where: Mugshots Grill & Bar (Mobile),30.67605,-88.18590999999999
14,"Address: 7971 Vaughn Rd, Montgomery, AL 36116",The Mugshots Burger Challenge (Montgomery),Where: Mugshots Grill & Bar (Montgomery),32.340759999999996,-86.17625
15,"Address: 1919 Kentucky Ave, Vestavia Hills, AL 35216",The Mugshots Burger Challenge (Vestavia Hills),Where: Mugshots Grill & Bar (Vestavia Hills),33.44636,-86.79302
16,"Address: 511 Greensboro Ave, Tuscaloosa, AL 35401",The Mugshots Burger Challenge (Tuscaloosa),Where: Mugshots Grill & Bar (Tuscaloosa),33.20939,-87.56775
17,"Address: 1292 Mt Mills Rd, Tuscumbia, AL 35674",Rattlesnake Saloon’s “Gigantor” Burger Challenge,Where: Rattlesnake Saloon,34.64735,-87.90718000000001
18,"Address: 917 S Railroad Ave, Opelika, AL 36801",The Niffasaurus Burger Challenge (Opelika),Where: Niffer's Place (Opelika),32.664077,-85.391961
19,"Address: 1151 Opelika Rd, Auburn, AL 36830",The Niffasaurus Burger Challenge (Auburn),Where: Niffer's Place (Auburn),32.6213,-85.45725999999999
20,"Address: 7500 Hwy 49 South, Dadeville, AL 36853
",The Niffasaurus Burger Challenge (Dadeville),Where: Niffer's Place (Dadeville),32.73619,-85.78813000000001
21,"Address: 817 North A St, Nenana, AK 99760",Riverside Pizza’s 40″x26″ Garbage Can Team Pizza Challenge,Where: Riverside Pizza,64.544758,-149.086784
22,"Address: 2409 C Street, Anchorage, AK 99503",Kriner’s Diner’s Andy’s Awesome Alaskan Breakfast Challenge,Where: Kriner's Diner (C Street),61.199459999999995,-149.88675
23,"Address: 33320 Sterling Highway, Sterling, AK 99672",Mama’s Wilderness BBQ’s “Leftovers For Dinner” Challenge,Where: Mama's Wilderness BBQ and Rub,60.53541,-150.74438
24,"Address: 600 W 6th Ave, Anchorage, AK 99501",Flattop Pizza’s “Wild Thing” Alaskan Pizza Challenge,Where: Flattop Pizza + Pool,61.216440000000006,-149.87178799999998
25,"Address: 3074 Mountain View Dr, Ste #151, Anchorage, AK 99501",Kriner’s Burgers and Pie’s Family Burger Challenge,Where: Kriner's Burgers & Pies,61.22085,-149.81846000000002
26,"Address: 13650 E Main St, Talkeetna, AK 99676",West Rib Pub’s “Seward’s Folly” Caribou Burger Challenge,Where: West Rib Pub & Grill,62.322880000000005,-150.11261000000002
27,"Address: 44332 Sterling Hwy, Soldotna, AK 99669",Firehouse BBQ’s 8-Alarm Burger Challenge,Where: Firehouse BBQ Soldotna,60.48385,-151.06798999999998
28,"Address: 333 W 4th Ave, Anchorage, AK 99501",Tiki Pete’s “Taste of Alaska” Food Challenge,Where: Tiki Pete's Alaskan Grill,61.218552,-149.893494
29,"Address: 2808 E Tudor Rd, Anchorage, AK 99507",MVP Sports Deli’s 9lb Sub Team Sandwich Challenge,Where: MVP Sports Deli & Eatery ,61.148718,-149.804054
30,"Address: 901 E Dimond Blvd, Anchorage, AK 99515",PHOnatik Vietnamese Cuisine’s Pho Challenge,Where: PHOnatik Vietnamese Cuisine & Lounge,61.120822,-149.890065
31,"Address: 672 East End Rd, Homer, AK 99603",Boss Hogz’ “Big Boss” Grilled Cheese Burger Challenge,Where: Boss Hoggz All-American Diner and Ice-Cream Parlor,59.64897,-151.52747
32,"Address: 354 Old Steese Hwy, Fairbanks, AK 99701",Brewster’s Belly Buster Challenge (North Gate Square),Where: Brewster's (North Gate Square),64.84899,-147.70378
33,"Address: 3578 Airport Way, Fairbanks, AK 99701",Brewster’s Belly Buster Challenge (Teddy Bear Plaza),Where: Brewster's (Teddy Bear Plaza),64.83715,-147.80992
34,"Address: 2409 C Street, Anchorage, AK 99503",Kriner’s Diner’s Family Burger Challenge (C Street),Where: Kriner's Diner (C Street),61.199459999999995,-149.88675
35,"Address: 610 W 6th Ave, Anchorage, AK 99501",Humpy’s Great Alaskan “Kodiak Arrest” Crab Legs Challenge,Where: Humpy's Great Alaskan Alehouse,61.216440000000006,-149.87178799999998
